
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
06/25/2022	12 - 20 - 32 - 27 - 6	4	3	$335 Million	Roll	
06/22/2022	10 - 56 - 6 - 31 - 48	12	3	$312 Million	Roll	
06/20/2022	3 - 44 - 69 - 61 - 63	13	2	$296 Million	Roll	
06/18/2022	40 - 45 - 10 - 19 - 58	25	2	$279 Million	Roll	
06/15/2022	28 - 19 - 42 - 41 - 51	7	2	$258 Million	Roll	
06/13/2022	2 - 44 - 42 - 51 - 27	25	2	$243 Million	Roll	
06/11/2022	26 - 53 - 69 - 20 - 18	5	2	$229 Million	Roll	
06/08/2022	39 - 43 - 62 - 22 - 64	7	4	$210 Million	Roll	
06/06/2022	10 - 2 - 44 - 35 - 46	4	2	$198 Million	Roll	
06/04/2022	60 - 52 - 14 - 16 - 36	16	3	$184 Million	Roll	
06/01/2022	41 - 56 - 63 - 11 - 57	2	2	$168 Million	Roll	
05/30/2022	51 - 69 - 28 - 68 - 27	22	2	$157 Million	Roll	
05/28/2022	66 - 50 - 61 - 39 - 2	15	2	$150 Million	Roll	
05/25/2022	42 - 19 - 28 - 39 - 57	17	3	$135 Million	Roll	
05/23/2022	42 - 37 - 33 - 1 - 39	26	2	$125 Million	Roll	
05/21/2022	15 - 52 - 25 - 58 - 14	11	2	$117 Million	Roll	
05/18/2022	64 - 41 - 40 - 58 - 65	17	3	$101 Million	Roll	
05/16/2022	7 - 22 - 15 - 36 - 64	13	2	$90 Million	Roll	
05/14/2022	6 - 52 - 40 - 45 - 41	9	3	$83 Million	Roll	
05/11/2022	61 - 5 - 7 - 69 - 63	18	2	$68 Million	Roll	
05/09/2022	18 - 56 - 30 - 35 - 52	5	2	$59 Million	Roll	
05/07/2022	5 - 28 - 6 - 67 - 4	10	2	$51 Million	Roll	
05/04/2022	55 - 63 - 69 - 39 - 37	23	2	$37 Million	Roll	
05/02/2022	18 - 39 - 44 - 33 - 27	8	5	$27 Million	Roll	
04/30/2022	21 - 37 - 44 - 63 - 14	1	3	$20 Million	Roll	
04/27/2022	62 - 68 - 61 - 11 - 36	4	2	$454 Million	Out of State Winner	
04/25/2022	18 - 61 - 12 - 39 - 20	10	2	$421 Million	Roll	
04/23/2022	49 - 10 - 56 - 39 - 47	8	3	$400 Million	Roll	
